Year	EW(m)	NS(m)	UD(m)
2012.06967	-0.01374	0.0393998	-0.03959
2012.0724	-0.01356	0.0378698	-0.04078
2012.07514	-0.01187	0.0374898	-0.04027
2012.07787	-0.01234	0.0377698	-0.04949
2012.0806	-0.01204	0.0383298	-0.04395
2012.08333	-0.01327	0.0387798	-0.04776
2012.08607	-0.01419	0.0376198	-0.04395
2012.0888	-0.0138	0.0364798	-0.04197
2012.09426	-0.01574	0.0382498	-0.04628
2012.09699	-0.01308	0.0372798	-0.04492
2012.09973	-0.01434	0.0397398	-0.04408
2012.10246	-0.01448	0.0378798	-0.04083
2012.10519	-0.01499	0.0379198	-0.04561
2012.10792	-0.01281	0.0368798	-0.04695
2012.11066	-0.01424	0.0375698	-0.048
2012.11339	-0.01337	0.0381898	-0.04671
2012.11612	-0.01172	0.0367898	-0.05097
2012.11885	-0.01312	0.0379098	-0.04697
2012.12158	-0.01163	0.0385298	-0.04772
2012.12432	-0.01333	0.0373098	-0.05111
2012.12705	-0.01271	0.0370698	-0.0471
2012.12978	-0.01279	0.0356898	-0.05301
2012.13251	-0.01492	0.0388498	-0.0457
2012.13525	-0.01503	0.0391098	-0.04564
2012.13798	-0.01469	0.0389198	-0.04734
2012.14071	-0.01697	0.0399398	-0.04338
2012.14344	-0.0138	0.0386998	-0.05248
2012.14617	-0.0146	0.0396298	-0.04652
2012.14891	-0.01361	0.0399298	-0.04991
2012.15164	-0.01425	0.0387698	-0.04859
2012.15437	-0.01435	0.0396298	-0.04963
2012.1571	-0.01279	0.0406798	-0.04504
2012.15984	-0.0134	0.0396198	-0.04708
2012.16257	-0.01387	0.0403898	-0.04774
2012.16803	-0.01482	0.0387298	-0.05163
2012.17077	-0.01488	0.0391598	-0.0531
2012.1735	-0.01416	0.0405798	-0.04528
2012.17623	-0.01504	0.0410498	-0.04899
2012.17896	-0.01371	0.0407998	-0.04609
2012.18169	-0.0134	0.0409998	-0.05322
2012.18443	-0.01174	0.0395998	-0.05465
2012.18716	-0.01509	0.0408598	-0.04953
2012.18989	-0.01469	0.0423998	-0.05483
2012.19262	-0.01525	0.0398898	-0.05742
2012.19536	-0.01566	0.0396398	-0.05416
2012.19809	-0.01468	0.0416498	-0.05374
2012.20082	-0.01667	0.0417198	-0.05649
2012.20355	-0.01742	0.0413598	-0.0557
2012.20628	-0.01475	0.0396598	-0.0587
2012.20902	-0.0167	0.0447498	-0.05042
2012.21175	-0.01577	0.0416698	-0.05117
2012.21448	-0.01659	0.0412298	-0.05305
2012.21721	-0.01644	0.0421598	-0.05033
2012.21995	-0.01495	0.0407298	-0.05258
2012.22268	-0.01563	0.0405898	-0.05109
2012.22541	-0.01684	0.0426098	-0.04682
2012.22814	-0.01637	0.0423198	-0.04413
2012.23087	-0.01727	0.0434498	-0.04302
2012.23361	-0.01597	0.0411398	-0.05011
2012.23634	-0.01751	0.0429398	-0.04657
2012.23907	-0.01634	0.0419598	-0.04434
2012.2418	-0.01067	0.0414698	-0.05667
2012.24454	-0.01466	0.0411498	-0.04761
2012.24727	-0.01487	0.0426698	-0.0442
2012.25	-0.01231	0.0399898	-0.04574
2012.25273	-0.01302	0.0441298	-0.0447
2012.25546	-0.01381	0.0405198	-0.03729
2012.2582	-0.01348	0.0430498	-0.04608
2012.26093	-0.01356	0.0442498	-0.04504
2012.26366	-0.01427	0.0430898	-0.05037
2012.26639	-0.01315	0.0425998	-0.04897
2012.26913	-0.01318	0.0431598	-0.04924
2012.27186	-0.0135	0.0414898	-0.04518
2012.27459	-0.01336	0.0414598	-0.04469
2012.27732	-0.00941	0.0436798	-0.04808
2012.28005	-0.01255	0.0418498	-0.04695
2012.28279	-0.01228	0.0427898	-0.04258
2012.28552	-0.01261	0.0441998	-0.04179
2012.28825	-0.01194	0.0440498	-0.04937
2012.29098	-0.01342	0.0423598	-0.05193
2012.29372	-0.01258	0.0429298	-0.04885
2012.29645	-0.00966	0.0454998	-0.04696
2012.29918	-0.01245	0.0440398	-0.05355
2012.30191	-0.00953	0.0440798	-0.05538
2012.30464	-0.01229	0.0450998	-0.04788
2012.30738	-0.0112	0.0471498	-0.04021
2012.31011	-0.01233	0.0463998	-0.043
2012.31284	-0.01084	0.0424598	-0.04797
2012.31557	-0.00994	0.0445698	-0.05051
2012.31831	-0.01098	0.0448598	-0.04751
2012.32104	-0.00735	0.0476298	-0.04672
2012.32377	-0.00996	0.0442998	-0.04829
2012.3265	-0.01269	0.0452898	-0.04992
2012.32923	-0.0136	0.0460598	-0.04925
2012.33197	-0.01172	0.0463198	-0.04611
2012.3347	-0.01121	0.0447098	-0.04341
2012.33743	-0.0091	0.0449198	-0.05206
2012.34016	-0.00978	0.0441398	-0.04571
2012.3429	-0.01069	0.0427098	-0.04729
2012.34563	-0.01186	0.0446398	-0.04762
2012.34836	-0.01081	0.0461998	-0.05138
2012.35109	-0.01048	0.0456298	-0.04863
2012.35383	-0.01061	0.0452398	-0.05431
2012.35656	-0.01372	0.0446298	-0.05484
2012.35929	-0.01024	0.0459898	-0.05477
2012.36202	-0.01128	0.0462898	-0.04927
2012.36475	-0.0075	0.0425198	-0.05307
2012.36749	-0.01243	0.0451498	-0.04956
2012.37022	-0.0083	0.0453698	-0.04523
2012.37295	-0.01101	0.0456498	-0.04705
2012.37568	-0.0134	0.0453398	-0.04618
2012.37842	-0.01318	0.0460598	-0.04558
2012.38115	-0.01342	0.0458898	-0.05032
2012.38388	-0.01364	0.0481698	-0.05365
2012.38661	-0.00904	0.0443198	-0.03856
2012.38934	-0.00721	0.0446798	-0.05287
2012.39208	-0.0078	0.0443598	-0.0561
2012.39481	-0.01021	0.0451598	-0.05847
2012.39754	-0.00875	0.0465798	-0.05559
2012.40027	-0.01045	0.0450798	-0.04951
2012.40301	-0.01151	0.0446598	-0.0548
2012.40574	-0.01348	0.0474698	-0.04485
2012.40847	-0.0094	0.0459798	-0.05302
2012.4112	-0.01194	0.0507298	-0.05258
2012.41393	-0.00944	0.0494598	-0.05908
2012.41667	-0.00978	0.0470498	-0.05568
2012.4194	-0.01148	0.0494698	-0.04756
2012.42213	-0.01472	0.0453198	-0.04732
2012.4276	-0.01008	0.0478198	-0.04824
2012.43033	-0.01088	0.0488598	-0.04258
2012.43306	-0.00794	0.0484298	-0.04965
2012.43579	-0.01346	0.0482798	-0.04704
2012.43852	-0.01049	0.0444798	-0.04878
2012.44126	-0.00886	0.0487098	-0.04754
2012.44399	-0.01083	0.0489498	-0.04359
2012.44672	-0.01353	0.0494198	-0.04457
2012.44945	-0.00713	0.0449898	-0.0464
2012.45219	-0.01181	0.0482298	-0.05109
2012.45492	-0.01218	0.0490498	-0.04843
2012.45765	-0.01251	0.0480698	-0.04446
2012.46038	-0.01275	0.0478598	-0.04573
2012.46311	-0.01279	0.0508898	-0.04486
2012.46585	-0.0136	0.0495998	-0.04559
2012.46858	-0.01116	0.0523798	-0.04739
2012.47131	-0.01087	0.0481998	-0.04856
2012.47404	-0.01077	0.0500098	-0.0402
2012.47678	-0.01252	0.0539798	-0.04503
2012.47951	-0.01011	0.0504598	-0.03627
2012.48224	-0.01169	0.0532798	-0.05619
2012.48497	-0.01203	0.0526598	-0.05565
2012.4877	-0.01538	0.0533598	-0.05091
2012.49044	-0.0092	0.0498598	-0.05593
2012.49317	-0.00886	0.0493098	-0.05209
2012.4959	-0.013	0.0525198	-0.05197
2012.49863	-0.00902	0.0465398	-0.04128
2012.50137	-0.00922	0.0512898	-0.04964
2012.5041	-0.00799	0.0525398	-0.04919
2012.50683	-0.01032	0.0513998	-0.0425
2012.50956	-0.01229	0.0501198	-0.04823
2012.5123	-0.01345	0.0495298	-0.0468
2012.51503	-0.00986	0.0554898	-0.03661
2012.51776	-0.01071	0.0501498	-0.05675
2012.52049	-0.00698	0.0483698	-0.05081
2012.52322	-0.01122	0.0507998	-0.05075
2012.52596	-0.01181	0.0513998	-0.06315
2012.52869	-0.01335	0.0517198	-0.05063
2012.53142	-0.01067	0.0560198	-0.05733
2012.53415	-0.01326	0.0513598	-0.05362
2012.53689	-0.01397	0.0526998	-0.05239
2012.53962	-0.01533	0.0506898	-0.05098
2012.54235	-0.01244	0.0535198	-0.05855
2012.54508	-0.01272	0.0568598	-0.03654
2012.54781	-0.02166	0.0530398	-0.04326
2012.55055	-0.0152	0.0532198	-0.05309
2012.55328	-0.01289	0.0491998	-0.04832
2012.55601	-0.0086	0.0506098	-0.06299
2012.55874	-0.01102	0.0568698	-0.0524
2012.56148	-0.0098	0.0544598	-0.05312
2012.56421	-0.00418	0.0486498	-0.04452
2012.56694	-0.00676	0.0547898	-0.04796
2012.56967	-0.0111	0.0553498	-0.04587
2012.5724	-0.01126	0.0530898	-0.04941
2012.57514	-0.0109	0.0564898	-0.05067
2012.57787	-0.01139	0.0561798	-0.05206
2012.5806	-0.01177	0.0523298	-0.05063
2012.58333	-0.01189	0.0476998	-0.06229
2012.58607	-0.009	0.0510998	-0.06068
2012.5888	-0.01187	0.0479498	-0.0753
2012.59153	-0.0048	0.0505598	-0.07859
2012.59426	-0.0058	0.0499898	-0.0758
2012.59699	-0.01019	0.0562598	-0.05491
2012.59973	-0.01611	0.0603598	-0.05382
2012.60246	-0.00657	0.0578198	-0.05604
2012.60519	-0.01115	0.0558398	-0.05498
2012.60792	-0.01029	0.0553898	-0.06275
2012.61066	-0.0091	0.0569698	-0.05584
2012.61339	-0.00542	0.0562798	-0.06234
2012.61612	-0.00925	0.0581698	-0.04771
2012.61885	-0.00833	0.0522298	-0.06418
2012.62158	-0.01185	0.0548998	-0.0618
2012.62432	-0.01422	0.0557498	-0.06142
2012.62705	-0.00619	0.0544798	-0.07475
2012.62978	-0.00566	0.0495698	-0.07397
2012.63251	-0.01416	0.0556698	-0.05659
2012.63525	-0.00729	0.0508298	-0.06432
2012.63798	-0.00926	0.0541798	-0.07073
2012.64071	-0.01299	0.0576398	-0.06279
2012.64344	-0.01138	0.0553898	-0.06685
2012.64617	-0.01292	0.0566698	-0.06856
2012.64891	-0.00437	0.0523798	-0.06572
2012.65164	-0.00544	0.0537098	-0.087
2012.65437	-0.00818	0.0553898	-0.08884
2012.6571	-0.01166	0.0527398	-0.07204
2012.65984	-0.01577	0.0561698	-0.05945
2012.66257	-0.01139	0.0570598	-0.06469
2012.6653	-0.01036	0.0602698	-0.0638
2012.66803	-0.01078	0.0556398	-0.06187
2012.67077	-0.0097	0.0502098	-0.08231
2012.6735	-0.00981	0.0556698	-0.07782
2012.67623	-0.01069	0.0585898	-0.07364
2012.67896	-0.00659	0.0589898	-0.0656
2012.68169	-0.00718	0.0569798	-0.07398
