Year	EW(m)	NS(m)	UD(m)
2011.00959	-0.00749	0.01918	-0.01724
2011.01233	-0.00652	0.02024	-0.01993
2011.01507	-0.00684	0.01853	-0.019
2011.01781	-0.00717	0.01971	-0.01767
2011.02055	-0.00714	0.0209	-0.01865
2011.02329	-0.00725	0.01947	-0.01484
2011.02603	-0.00737	0.01946	-0.01361
2011.02877	-0.0075	0.02007	-0.01156
2011.03151	-0.0073	0.02004	-0.01184
2011.03425	-0.00666	0.02094	-0.0163
2011.03699	-0.00736	0.0195	-0.0174
2011.03973	-0.00717	0.01899	-0.02025
2011.04247	-0.0077	0.01953	-0.01957
2011.04521	-0.00758	0.02084	-0.01989
2011.04795	-0.00778	0.021	-0.02262
2011.05068	-0.0076	0.02125	-0.01976
2011.05342	-0.00732	0.01941	-0.01817
2011.05616	-0.00783	0.02155	-0.0158
2011.0589	-0.00726	0.02061	-0.01759
2011.06164	-0.00828	0.02077	-0.0174
2011.06438	-0.007	0.02003	-0.01796
2011.06712	-0.00736	0.02077	-0.019
2011.06986	-0.00794	0.02073	-0.02188
2011.0726	-0.00861	0.02065	-0.02279
2011.07534	-0.00966	0.02127	-0.01597
2011.07808	-0.01014	0.02125	-0.01724
2011.08082	-0.01058	0.02035	-0.01451
2011.08356	-0.01034	0.02119	-0.01318
2011.0863	-0.00948	0.02205	-0.01107
2011.08904	-0.00925	0.02281	-0.01104
2011.09178	-0.00942	0.02258	-0.00947
2011.09452	-0.00903	0.02267	-0.0111
2011.09726	-0.00859	0.02408	-0.01092
2011.1	-0.00892	0.02359	-0.00916
2011.10274	-0.00763	0.02257	-0.0104
2011.10548	-0.00831	0.02447	-0.01169
2011.10822	-0.0085	0.02262	-0.01499
2011.11096	-0.00884	0.02441	-0.0155
2011.1137	-0.00929	0.02527	-0.0149
2011.11644	-0.00861	0.02259	-0.01312
2011.11918	-0.00942	0.02466	-0.01758
2011.12192	-0.01059	0.0236	-0.01452
2011.12466	-0.00951	0.02406	-0.01145
2011.1274	-0.00999	0.02456	-0.0108
2011.13014	-0.00969	0.0234	-0.01346
2011.13288	-0.01097	0.02314	-0.01389
2011.13562	-0.01004	0.02467	-0.01412
2011.13836	-0.01027	0.02422	-0.01594
2011.1411	-0.00997	0.02473	-0.01437
2011.14384	-0.00992	0.02473	-0.01022
2011.14658	-0.0091	0.02458	-0.01177
2011.14932	-0.00901	0.02451	-0.01778
2011.15205	-0.00951	0.02514	-0.01412
2011.15479	-0.00816	0.02545	-0.01588
2011.15753	-0.00799	0.0243	-0.0175
2011.16027	-0.00859	0.02375	-0.01571
2011.16301	-0.00973	0.02283	-0.01229
2011.16575	-0.0088	0.02375	-0.01341
2011.16849	-0.01013	0.02432	-0.01223
2011.17123	-0.01008	0.02558	-0.00778
2011.17397	-0.00865	0.02455	-0.00914
2011.17671	-0.00898	0.02589	-0.0134
2011.17945	-0.00975	0.02413	-0.00959
2011.18219	-0.00957	0.02593	-0.01322
2011.18493	-0.00913	0.02564	-0.01562
2011.18767	-0.00914	0.02601	-0.01322
2011.19041	-0.00979	0.0276196	-0.0049
2011.19315	-0.00864	0.0262096	-0.00691
2011.19589	-0.00789	0.0259296	-0.013
2011.19863	-0.00934	0.0252696	-0.01936
