Year	EW(m)	NS(m)	UD(m)
1999.72466	-0.00775	0.0156	-0.00741
1999.7274	-0.01117	0.0186	-0.00323
1999.73014	-0.00512	0.01577	-0.00763
1999.73288	-0.00837	0.0164	-0.01097
1999.73562	-0.0131	0.01711	-0.00128
1999.73836	-0.01129	0.016	-0.00538
1999.7411	-0.0051	0.01637	-0.01441
1999.74384	-0.00932	0.01562	-0.01047
1999.74658	-0.00516	0.01578	-0.01353
1999.74932	-0.00651	0.0162	-0.01375
1999.75205	-0.00635	0.01769	-0.00723
1999.75479	-0.01131	0.01727	-0.00922
1999.75753	-0.01064	0.01687	-0.00657
1999.76027	-0.00934	0.01632	-0.00506
1999.76301	-0.00796	0.0157	-0.00409
1999.76575	-0.00902	0.01706	-0.00808
1999.76849	-0.00862	0.0171	-0.00123
1999.77123	-0.00695	0.01786	-0.00416
1999.77397	-0.00897	0.0152	-0.01535
1999.77671	-0.00907	0.01998	-0.01528
1999.77945	-0.00967	0.02285	-0.01007
1999.78219	-0.00585	0.01843	-0.0102
1999.78493	-0.00755	0.01711	-0.01106
1999.78767	-0.00662	0.01759	-0.01237
1999.79041	-0.0081	0.01734	-0.00511
1999.79315	-0.01033	0.02031	-0.0061
1999.79589	-0.00799	0.01986	-0.0026
1999.79863	-0.00796	0.02031	-0.01079
1999.80137	-0.00879	0.02089	-0.01051
1999.80411	-0.00956	0.02101	-0.00313
1999.80685	-0.00996	0.02033	-0.00329
1999.80959	-0.00824	0.02128	-0.00335
1999.81233	-0.00782	0.02	-0.00124
1999.81507	-0.01097	0.02217	-0.00546
1999.81781	-0.00911	0.02069	-0.00236
1999.82055	-0.00615	0.01809	-0.0044
1999.82329	-0.00762	0.01889	0.00058
1999.82603	-0.00925	0.01838	-0.00166
1999.82877	-0.00772	0.02173	-0.00456
1999.83151	-0.00606	0.02158	0.00083
1999.83425	-0.0073	0.02038	0.00754
1999.83699	-0.00875	0.0228	-0.00574
1999.83973	-0.0092	0.02188	0.00281
1999.84247	-0.00772	0.0193	-0.00469
1999.84521	-0.00985	0.02214	-0.00188
1999.84795	-0.0079	0.01839	-0.01068
1999.85068	-0.00891	0.02001	-0.00193
1999.85342	-0.00905	0.02083	0.00452
1999.85616	-0.00853	0.01972	0.003
1999.8589	-0.0098	0.01906	0.00586
1999.86164	-0.00994	0.02075	0.014
1999.86438	-0.00761	0.02168	0.00611
1999.86712	-0.00912	0.01939	0.00001
1999.86986	-0.00789	0.0196	-0.0069
1999.8726	-0.00886	0.02056	0.00413
1999.87534	-0.00795	0.02059	0.00316
1999.87808	-0.01005	0.0211	-0.00288
1999.88082	-0.01108	0.02083	0.00348
1999.88356	-0.01215	0.02236	-0.00253
1999.8863	-0.00895	0.02118	-0.00006
1999.88904	-0.00848	0.02124	-0.00294
1999.89178	-0.01113	0.02165	0.00304
1999.89452	-0.00823	0.01837	-0.00275
1999.89726	-0.00603	0.02115	-0.00212
1999.9	-0.01187	0.02166	0.00246
1999.90274	-0.00877	0.02361	-0.00336
1999.90548	-0.00726	0.02154	-0.00192
1999.90822	-0.0083	0.02077	-0.00141
1999.91096	-0.00932	0.02311	-0.00054
1999.9137	-0.00914	0.02154	0.00204
1999.91644	-0.00816	0.02312	-0.0035
1999.91918	-0.01111	0.02306	-0.00829
1999.92192	-0.00702	0.01871	-0.00586
1999.92466	-0.00885	0.02069	-0.00649
1999.9274	-0.00789	0.02428	-0.00148
1999.93014	-0.00913	0.02012	0.00085
1999.93288	-0.00923	0.02343	0.00048
1999.93562	-0.00911	0.0229	-0.00058
1999.93836	-0.00846	0.02235	-0.00158
1999.9411	-0.00719	0.02318	-0.00233
1999.94384	-0.00833	0.02184	-0.00195
1999.94658	-0.00779	0.02237	-0.00171
1999.94932	-0.0071	0.02229	-0.00302
1999.95205	-0.00794	0.02451	0.0003
1999.95479	-0.00587	0.02289	0.00051
1999.95753	-0.00732	0.02399	-0.00344
1999.96027	-0.00769	0.02364	0.0007
1999.96301	-0.00724	0.0225	-0.00255
1999.96575	-0.00735	0.02273	-0.00344
1999.96849	-0.00898	0.02217	-0.0008
1999.97123	-0.0077	0.02273	-0.00125
1999.97397	-0.00698	0.0218	0.00194
1999.97671	-0.00574	0.02262	0.0051
1999.97945	-0.00929	0.02282	0.00694
1999.98219	-0.00911	0.02218	-0.0027
1999.98493	-0.00883	0.02394	0.0003
1999.98767	-0.00883	0.0247	-0.00249
1999.99041	-0.00756	0.02278	-0.00021
1999.99315	-0.00571	0.0244	0.00224
1999.99589	-0.00961	0.02622	-0.00339
1999.99863	-0.00905	0.02483	-0.00112
2000.00137	-0.00936	0.02534	-0.00247
2000.0041	-0.00779	0.02388	-0.00003
2000.00683	-0.00841	0.02333	-0.002
2000.00956	-0.00556	0.02234	-0.00135
2000.0123	-0.00082	0.0255	-0.00837
2000.01503	-0.00747	0.02097	0.00492
2000.01776	-0.00785	0.02318	0.00456
2000.02049	-0.00917	0.02517	-0.00143
2000.02322	-0.00956	0.02527	0.00056
2000.02596	-0.01056	0.0261	0.00022
2000.02869	-0.01061	0.02513	-0.00078
2000.03142	-0.00923	0.02671	0.001
2000.03415	-0.00799	0.02377	0.00371
2000.03689	-0.00845	0.02496	-0.00274
2000.03962	-0.00884	0.02638	-0.0077
2000.04235	-0.00996	0.02459	-0.0011
2000.04508	-0.00854	0.02391	-0.00395
2000.04781	-0.0092	0.02571	-0.00562
2000.05055	-0.01307	0.02594	-0.00501
2000.05328	-0.01187	0.02742	-0.00567
2000.05601	-0.00953	0.02692	-0.00911
2000.05874	-0.0109	0.02979	-0.00423
2000.06421	-0.01042	0.02573	-0.00732
2000.06694	-0.00916	0.02753	-0.00553
2000.0724	-0.00815	0.02578	-0.00152
2000.07514	-0.01064	0.02697	-0.00493
2000.07787	-0.00691	0.02586	-0.00272
2000.0806	-0.0097	0.02764	-0.00462
2000.08333	-0.01082	0.02708	-0.00262
2000.08607	-0.01118	0.02541	-0.00003
2000.0888	-0.01005	0.02922	-0.00175
2000.09153	-0.01085	0.02847	-0.00753
2000.09426	-0.01022	0.0242	0.00202
2000.09699	-0.01116	0.02674	0.00668
2000.09973	-0.00851	0.02842	0.00028
2000.10246	-0.00987	0.03134	-0.00332
2000.10519	-0.0085	0.02553	-0.00459
2000.10792	-0.00992	0.02844	-0.00148
2000.11066	-0.01054	0.02839	0.00071
2000.11339	-0.00896	0.02754	0.00054
2000.11612	-0.00884	0.02678	0.00011
2000.11885	-0.00821	0.02746	-0.0033
2000.12158	-0.00723	0.02765	0.00429
2000.12432	-0.00718	0.0275	-0.00506
