YYYY	EW(m)	NS(m)	UD(m)
2012.20082	-0.01627	0.0412344	-0.00426
2012.20355	-0.01724	0.0401144	-0.00312
2012.20628	-0.01609	0.0412944	-0.0053
2012.20902	-0.01613	0.0423644	-0.00261
2012.21175	-0.01678	0.0413444	-0.00329
2012.21448	-0.01738	0.0407244	-0.00286
2012.21721	-0.01775	0.0420644	-0.00104
2012.21995	-0.01671	0.0411844	-0.00087
2012.22268	-0.01585	0.0406644	-0.00451
2012.22541	-0.01687	0.0422244	0.00035
2012.22814	-0.01712	0.0411644	0.00159
2012.23087	-0.01787	0.0420344	0.00017
2012.23361	-0.01681	0.0419544	-0.00123
2012.23634	-0.01817	0.0415644	-0.00273
2012.23907	-0.01777	0.0423944	0.00039
2012.2418	-0.01414	0.0423144	-0.0064
2012.24454	-0.01625	0.0417244	-0.00146
2012.24727	-0.01731	0.0422544	-0.00185
2012.25	-0.01646	0.0427244	-0.0033
2012.25273	-0.01657	0.0440944	-0.00537
2012.25546	-0.01574	0.0420344	0.00757
2012.2582	-0.01546	0.0436244	-0.00327
2012.26093	-0.01641	0.0434044	-0.00224
2012.26366	-0.01686	0.0436044	-0.00307
2012.26639	-0.01677	0.0436244	-0.00006
2012.26913	-0.01626	0.0436644	-0.00171
2012.27186	-0.01596	0.0427344	0.00296
2012.27732	-0.01504	0.0428144	-0.00202
2012.28005	-0.0159	0.0432044	-0.00021
2012.28279	-0.01621	0.0442044	-0.00007
2012.28552	-0.01607	0.0439444	0.00198
2012.28825	-0.0152	0.0444144	-0.00106
2012.29098	-0.01693	0.0444544	-0.0007
2012.29372	-0.017	0.0441144	0.00108
2012.29645	-0.0156	0.0445444	-0.00143
2012.29918	-0.01687	0.0428644	-0.00005
2012.30191	-0.01558	0.0445844	-0.0054
2012.30464	-0.01713	0.0458244	-0.00005
2012.30738	-0.01643	0.0454144	0.00558
2012.31011	-0.01742	0.0438844	0.0031
2012.31284	-0.01321	0.0432444	-0.01013
2012.31557	-0.01469	0.0444644	0.00063
2012.31831	-0.01685	0.0437944	0.00469
2012.32104	-0.014	0.0459444	0.00323
2012.32377	-0.01472	0.0467244	0.00363
2012.3265	-0.01669	0.0471044	0.00412
2012.32923	-0.01979	0.0464344	-0.0012
2012.33197	-0.01778	0.0467744	-0.00145
2012.3347	-0.01675	0.0471144	-0.00045
2012.33743	-0.01711	0.0475744	0.0018
2012.34016	-0.01575	0.0464844	0.00038
2012.3429	-0.01674	0.0452344	0.00388
2012.34563	-0.01692	0.0468644	0.00566
2012.35109	-0.01689	0.0469444	-0.00397
2012.35383	-0.01646	0.0461444	-0.0042
2012.35656	-0.01714	0.0445044	-0.00187
2012.35929	-0.0136	0.0460644	-0.00313
2012.36202	-0.01574	0.0466844	-0.00278
2012.36475	-0.01615	0.0445844	-0.00618
2012.36749	-0.01697	0.0467244	0.00199
2012.37022	-0.0162	0.0469544	0.00296
2012.37295	-0.01658	0.0468944	0.0051
2012.37568	-0.01852	0.0460044	0.00255
2012.37842	-0.01768	0.0466044	0.00051
2012.38115	-0.01889	0.0490644	0.0001
2012.38388	-0.01941	0.0483144	-0.00382
2012.38661	-0.01795	0.0475744	-0.0003
2012.38934	-0.01517	0.0454644	-0.00586
2012.39208	-0.01639	0.0460944	-0.00375
2012.39481	-0.01603	0.0478644	-0.00015
2012.39754	-0.01525	0.0469144	-0.0004
