Year	EW(m)	NS(m)	UD(m)
2011.3137	-0.00586	0.0215363	-0.03011
2011.31644	-0.00616	0.0244363	-0.03119
2011.38219	-0.00518	0.0261863	-0.03419
2011.38493	-0.00706	0.0246763	-0.03456
2011.38767	-0.00785	0.0262263	-0.03185
2011.39041	-0.00878	0.0244263	-0.03445
2011.39315	-0.00741	0.0256663	-0.03707
2011.39589	-0.00751	0.0252063	-0.03793
2011.39863	-0.00743	0.0262463	-0.03697
2011.40137	-0.00747	0.0267463	-0.0338
2011.40411	-0.01	0.0264763	-0.03474
2011.40685	-0.00656	0.0255063	-0.03392
2011.40959	-0.0045	0.0250563	-0.03201
2011.41233	-0.00791	0.0266863	-0.03286
2011.41507	-0.0061	0.0278763	-0.03178
2011.41781	-0.00936	0.0266763	-0.03186
2011.42055	-0.00692	0.0283563	-0.0365
2011.42329	-0.00452	0.0268763	-0.03487
2011.42603	-0.00546	0.0275063	-0.03271
2011.42877	-0.00683	0.0261763	-0.03194
2011.43151	-0.00944	0.0248663	-0.03016
2011.43425	-0.00667	0.0279263	-0.03398
2011.43699	-0.00551	0.0278263	-0.02999
2011.43973	-0.01144	0.0299563	-0.0305
2011.44247	-0.00604	0.0269263	-0.03839
2011.44521	-0.00923	0.0277763	-0.03214
2011.44795	-0.00941	0.0277663	-0.03363
2011.45068	-0.01129	0.0293463	-0.02538
2011.45342	-0.00751	0.0279563	-0.0321
2011.45616	-0.00522	0.0295363	-0.038
2011.4589	-0.00698	0.0274463	-0.03997
2011.46164	-0.00994	0.0295263	-0.02874
2011.46438	-0.00933	0.0289863	-0.02989
2011.46712	-0.0087	0.0275763	-0.03958
2011.46986	-0.01016	0.0324563	-0.03291
2011.4726	-0.00536	0.0264763	-0.04127
2011.47534	-0.0098	0.0279663	-0.02269
2011.56301	-0.01246	0.0313963	-0.04051
2011.59863	-0.01205	0.0321763	-0.03651
2011.60411	-0.01477	0.0370963	-0.02895
2011.64247	-0.01284	0.0377263	-0.02879
2011.67808	-0.0078	0.0378463	-0.03557
2011.6863	-0.00908	0.0381463	-0.04621
2011.7	-0.00494	0.0362963	-0.06264
2011.7137	-0.0062	0.0374163	-0.06376
2011.77123	-0.01141	0.0375563	-0.04322
2011.77945	-0.01045	0.0438963	-0.0357
2011.79041	-0.0056	0.0395763	-0.03412
2011.83151	-0.01013	0.0408763	-0.05376
2011.83973	-0.01074	0.0383163	-0.06297
2011.84521	-0.00976	0.0414063	-0.04992
2011.84795	-0.00993	0.0420963	-0.04858
2011.88356	-0.01099	0.0442263	-0.04343
2011.90822	-0.01226	0.0435763	-0.04333
2011.92466	-0.01434	0.0430763	-0.04631
2011.93288	-0.01388	0.0440063	-0.04316
2011.93836	-0.01545	0.0418263	-0.03279
2011.9411	-0.0147	0.0425563	-0.0333
2011.94384	-0.01604	0.0437963	-0.03643
2011.94658	-0.01509	0.0444863	-0.03848
2011.96849	-0.0152	0.0429863	-0.04203
2011.97123	-0.01572	0.0436063	-0.04338
2011.97397	-0.01562	0.0423663	-0.03826
2011.97671	-0.01598	0.0429163	-0.04021
2011.97945	-0.01682	0.0439263	-0.04176
2011.98219	-0.01578	0.0442463	-0.04283
2011.98493	-0.01652	0.0441863	-0.04291
2011.98767	-0.01578	0.0449463	-0.04242
2011.99041	-0.01658	0.0448763	-0.04411
2011.99315	-0.01616	0.0439963	-0.04444
2012.00956	-0.01685	0.0426563	-0.03413
2012.0123	-0.01745	0.0444863	-0.04378
2012.01503	-0.01735	0.0444263	-0.04742
2012.01776	-0.01682	0.0444163	-0.04626
2012.02049	-0.01736	0.0443063	-0.04587
2012.02322	-0.01687	0.0445263	-0.04428
2012.02596	-0.01684	0.0457063	-0.04489
2012.02869	-0.01693	0.0444163	-0.04224
2012.03415	-0.01763	0.0457263	-0.04082
2012.03689	-0.01742	0.0460163	-0.04011
2012.03962	-0.01812	0.0471863	-0.03787
2012.04235	-0.0167	0.0466263	-0.0403
2012.04508	-0.01805	0.0460963	-0.0412
2012.04781	-0.01753	0.0464963	-0.04182
2012.05055	-0.01733	0.0453563	-0.04423
2012.05328	-0.01636	0.0459363	-0.04548
2012.05601	-0.01613	0.0459463	-0.03957
2012.06148	-0.01769	0.0472463	-0.03832
2012.06421	-0.01747	0.0470763	-0.03519
2012.06694	-0.01775	0.0480763	-0.03517
2012.06967	-0.01663	0.0484363	-0.04109
2012.0724	-0.01699	0.0468763	-0.04174
2012.07514	-0.01621	0.0477863	-0.04059
2012.07787	-0.01706	0.0478163	-0.04472
2012.0806	-0.0167	0.0472363	-0.03863
2012.08333	-0.01704	0.0476563	-0.03903
2012.08607	-0.01812	0.0471263	-0.0391
2012.0888	-0.01736	0.0466863	-0.0339
2012.09153	-0.01779	0.0487663	-0.03912
2012.09973	-0.01822	0.0492463	-0.03699
2012.10246	-0.018	0.0467563	-0.02978
2012.10519	-0.01854	0.0479263	-0.03499
2012.10792	-0.01831	0.0484363	-0.03969
2012.11066	-0.01663	0.0493563	-0.04149
2012.11339	-0.02339	0.0423163	-0.03714
2012.12978	-0.01715	0.0487463	-0.02917
2012.13251	-0.02212	0.0495963	-0.05113
2012.13525	-0.02026	0.0486863	-0.03236
2012.14071	-0.02087	0.0511963	-0.03983
2012.14344	-0.02001	0.0518363	-0.04038
2012.14617	-0.02042	0.0512463	-0.04238
2012.14891	-0.0201	0.0518963	-0.04519
2012.15164	-0.02002	0.0510863	-0.04221
2012.15437	-0.02014	0.0515963	-0.04066
2012.1571	-0.01995	0.0522963	-0.04096
2012.15984	-0.02027	0.0532763	-0.03981
2012.16257	-0.02003	0.0523263	-0.04323
2012.16803	-0.01961	0.0518163	-0.04319
2012.17077	-0.02029	0.0530663	-0.0455
2012.1735	-0.02029	0.0534963	-0.04311
2012.17623	-0.02093	0.0542163	-0.04049
2012.17896	-0.01983	0.0525163	-0.03953
2012.18169	-0.0204	0.0531063	-0.04445
2012.18443	-0.02002	0.0526263	-0.04782
2012.18716	-0.01965	0.0516263	-0.04347
2012.18989	-0.01959	0.0533163	-0.04505
2012.19262	-0.01996	0.0514163	-0.04593
2012.19536	-0.02032	0.0524963	-0.04182
2012.19809	-0.02091	0.0532463	-0.04421
2012.20082	-0.0214	0.0540763	-0.04623
2012.20355	-0.02211	0.0535863	-0.04447
2012.20628	-0.02128	0.0535463	-0.04459
2012.20902	-0.02134	0.0552963	-0.04269
2012.21175	-0.02131	0.0528563	-0.04341
2012.21448	-0.02218	0.0534363	-0.04464
2012.21721	-0.0221	0.0540663	-0.0413
2012.21995	-0.02083	0.0531363	-0.04242
2012.22268	-0.02117	0.0533063	-0.04501
2012.22541	-0.02172	0.0544763	-0.03805
2012.22814	-0.02166	0.0538663	-0.04102
2012.23087	-0.02228	0.0544463	-0.04138
2012.23361	-0.0223	0.0542563	-0.04459
2012.23634	-0.02304	0.0541163	-0.04602
2012.23907	-0.02259	0.0538963	-0.04465
2012.2418	-0.02039	0.0545363	-0.04847
2012.24454	-0.02146	0.0544063	-0.04099
2012.24727	-0.02161	0.0544563	-0.04163
2012.25	-0.02048	0.0544963	-0.04332
2012.25273	-0.02163	0.0551663	-0.04739
2012.25546	-0.02076	0.0547563	-0.02933
2012.2582	-0.01992	0.0558563	-0.04214
2012.26093	-0.02153	0.0559763	-0.04164
2012.26366	-0.02175	0.0550963	-0.04538
2012.26639	-0.02219	0.0554063	-0.04125
2012.26913	-0.02164	0.0565363	-0.04435
2012.27186	-0.021	0.0544763	-0.0457
2012.27459	-0.02231	0.0543563	-0.03921
2012.27732	-0.01872	0.0555963	-0.0373
2012.28005	-0.01961	0.0545963	-0.03913
2012.28279	-0.02058	0.0557763	-0.04026
2012.28552	-0.02086	0.0550163	-0.03756
2012.28825	-0.02079	0.0553663	-0.04328
2012.29098	-0.0219	0.0557763	-0.04087
2012.29372	-0.02101	0.0563663	-0.03899
2012.29645	-0.02016	0.0578063	-0.03753
2012.29918	-0.02079	0.0574063	-0.04088
2012.30191	-0.02024	0.0583863	-0.04272
2012.30464	-0.02214	0.0577563	-0.03916
2012.30738	-0.02015	0.0580063	-0.03427
2012.31011	-0.02193	0.0574063	-0.0418
2012.31284	-0.01983	0.0550263	-0.04182
2012.31557	-0.02006	0.0567763	-0.04158
2012.31831	-0.0208	0.0564963	-0.04023
2012.32104	-0.01779	0.0591363	-0.04262
2012.32377	-0.01949	0.0583463	-0.03929
2012.3265	-0.02048	0.0577963	-0.04669
2012.32923	-0.02033	0.0575763	-0.0457
2012.33197	-0.02063	0.0587663	-0.0407
2012.3347	-0.02023	0.0581463	-0.0428
2012.33743	-0.01987	0.0577063	-0.03935
2012.34016	-0.01988	0.0584063	-0.04188
2012.3429	-0.0202	0.0574763	-0.03955
2012.34563	-0.01997	0.0584663	-0.04291
2012.34836	-0.01949	0.0615863	-0.03576
2012.35109	-0.02038	0.0586763	-0.04746
2012.35383	-0.01984	0.0589663	-0.04559
2012.35656	-0.02077	0.0579863	-0.04549
2012.35929	-0.02147	0.0569363	-0.04802
2012.36202	-0.01949	0.0577463	-0.04758
2012.36475	-0.01847	0.0566363	-0.04393
2012.36749	-0.02097	0.0581863	-0.04051
2012.37022	-0.02018	0.0590063	-0.0358
2012.37295	-0.01965	0.0593663	-0.04048
2012.37568	-0.02201	0.0571563	-0.04013
2012.37842	-0.02124	0.0593163	-0.04139
2012.38115	-0.02124	0.0600363	-0.04079
2012.38388	-0.0228	0.0604563	-0.04861
2012.38661	-0.02133	0.0579063	-0.0404
2012.38934	-0.02008	0.0576163	-0.0447
2012.39208	-0.01921	0.0587763	-0.04921
2012.39481	-0.02017	0.0594363	-0.0471
2012.39754	-0.01986	0.0598763	-0.04344
2012.40027	-0.02098	0.0587063	-0.03608
2012.40301	-0.02097	0.0596763	-0.03994
2012.40574	-0.02023	0.0589763	-0.04483
2012.40847	-0.0213	0.0592763	-0.0445
2012.4112	-0.0205	0.0615363	-0.04632
2012.41393	-0.02144	0.0607263	-0.04303
2012.41667	-0.01948	0.0592963	-0.04644
2012.4194	-0.0211	0.0616963	-0.04197
2012.42213	-0.02129	0.0595663	-0.04451
2012.42486	-0.0219	0.0622963	-0.03922
2012.4276	-0.02137	0.0592263	-0.04434
2012.43033	-0.02185	0.0611563	-0.03296
2012.43306	-0.01922	0.0597763	-0.03879
2012.43579	-0.02002	0.0614363	-0.03458
2012.43852	-0.02373	0.0610963	-0.03516
2012.44126	-0.02075	0.0602463	-0.03443
2012.44399	-0.02084	0.0606863	-0.03653
2012.44672	-0.02249	0.0620063	-0.04135
2012.44945	-0.02102	0.0605763	-0.03495
2012.45219	-0.02049	0.0614963	-0.04593
2012.45492	-0.0241	0.0632663	-0.03322
2012.45765	-0.02085	0.0600563	-0.03472
2012.46038	-0.02322	0.0590763	-0.02746
2012.46585	-0.02197	0.0622563	-0.03864
2012.46858	-0.0215	0.0607963	-0.03685
2012.47131	-0.02192	0.0617263	-0.03835
2012.47404	-0.02433	0.0615063	-0.03203
2012.47678	-0.02155	0.0643163	-0.03809
2012.47951	-0.0228	0.0646563	-0.02707
2012.48224	-0.02095	0.0637063	-0.03979
2012.48497	-0.0223	0.0644563	-0.03918
2012.4877	-0.02186	0.0645063	-0.04119
2012.49044	-0.02045	0.0629463	-0.04496
2012.49317	-0.01973	0.0629763	-0.04819
2012.4959	-0.02325	0.0638663	-0.03993
2012.49863	-0.02067	0.0596663	-0.04053
2012.50137	-0.02088	0.0620263	-0.03295
2012.5041	-0.02254	0.0652263	-0.03564
2012.50683	-0.02312	0.0646763	-0.03885
2012.50956	-0.02188	0.0626363	-0.03548
2012.5123	-0.02172	0.0644563	-0.0322
2012.51503	-0.01945	0.0654463	-0.03561
2012.51776	-0.01969	0.0652563	-0.04235
2012.52049	-0.01974	0.0656563	-0.04009
2012.52322	-0.02317	0.0635063	-0.0337
2012.52596	-0.02172	0.0649963	-0.04227
2012.52869	-0.02278	0.0653863	-0.03598
2012.53142	-0.02148	0.0662363	-0.04675
2012.53962	-0.02484	0.0648963	-0.03342
2012.54508	-0.0213	0.0652263	-0.03774
2012.54781	-0.02482	0.0639263	-0.03176
2012.55055	-0.02343	0.0676663	-0.03659
2012.55328	-0.02529	0.0653263	-0.03455
2012.55601	-0.0184	0.0639163	-0.04386
2012.55874	-0.021	0.0656863	-0.03559
2012.56148	-0.02293	0.0643763	-0.04865
2012.56421	-0.02124	0.0679363	-0.03497
2012.56694	-0.01453	0.0650263	-0.04681
2012.56967	-0.02209	0.0678263	-0.039
2012.5724	-0.02074	0.0642963	-0.0505
2012.57514	-0.02199	0.0680363	-0.03451
2012.57787	-0.02188	0.0685363	-0.04461
2012.5806	-0.02307	0.0665963	-0.04339
2012.58333	-0.0226	0.0635063	-0.04668
2012.5888	-0.01505	0.0616963	-0.03579
2012.59153	-0.01566	0.0650263	-0.05601
2012.59426	-0.01807	0.0649363	-0.05003
2012.59699	-0.02238	0.0687763	-0.03921
2012.59973	-0.02559	0.0682663	-0.03821
2012.60246	-0.02641	0.0672563	-0.04042
2012.60519	-0.02155	0.0680563	-0.04342
2012.60792	-0.02251	0.0692263	-0.04161
2012.61066	-0.02097	0.0659063	-0.04719
2012.61339	-0.01913	0.0666463	-0.05147
2012.61612	-0.02248	0.0698963	-0.04255
2012.61885	-0.02039	0.0650363	-0.04469
2012.62158	-0.02367	0.0672863	-0.04805
2012.62432	-0.02491	0.0671663	-0.04869
2012.62705	-0.01905	0.0673763	-0.04783
2012.62978	-0.01826	0.0619563	-0.05985
2012.63251	-0.02308	0.0699663	-0.05396
2012.63525	-0.02079	0.0671763	-0.04811
2012.63798	-0.02217	0.0668063	-0.05595
2012.64071	-0.02325	0.0686363	-0.05054
2012.64344	-0.02364	0.0698363	-0.04533
2012.64617	-0.0245	0.0687163	-0.04754
2012.64891	-0.02011	0.0669263	-0.05388
2012.65164	-0.02018	0.0698163	-0.04304
2012.65437	-0.02339	0.0692963	-0.04899
2012.6571	-0.02343	0.0682663	-0.04384
2012.65984	-0.02417	0.0670663	-0.04588
2012.66257	-0.02379	0.0691463	-0.04443
2012.6653	-0.02035	0.0677363	-0.05475
2012.66803	-0.02385	0.0733963	-0.0456
2012.67077	-0.02185	0.0634263	-0.05105
2012.6735	-0.02121	0.0679863	-0.05736
2012.67623	-0.02192	0.0694563	-0.05349
2012.67896	-0.021	0.0704263	-0.05289
2012.68169	-0.02194	0.0698863	-0.05033
2012.68443	-0.0228	0.0665863	-0.04653
2012.68716	-0.02323	0.0706563	-0.05357
2012.68989	-0.02297	0.0704363	-0.05526
2012.69262	-0.02249	0.0704363	-0.05571
2012.69536	-0.02202	0.0687163	-0.05467
2012.69809	-0.02267	0.0681863	-0.06005
2012.70082	-0.02377	0.0710563	-0.05382
2012.70355	-0.02411	0.0698363	-0.05851
2012.70628	-0.0222	0.0693563	-0.05363
2012.70902	-0.02331	0.0691863	-0.05965
2012.71175	-0.02269	0.0696863	-0.05441
2012.71448	-0.0234	0.0712763	-0.05116
2012.71721	-0.02179	0.0695963	-0.05424
2012.71995	-0.02377	0.0721163	-0.06079
2012.72268	-0.01934	0.0666063	-0.05218
2012.72541	-0.02228	0.0695863	-0.05944
2012.72814	-0.0214	0.0702563	-0.0568
2012.73087	-0.02317	0.0710563	-0.05669
2012.73361	-0.02309	0.0687163	-0.05972
2012.73634	-0.01981	0.0695663	-0.07003
2012.73907	-0.02488	0.0690463	-0.05597
2012.7418	-0.02419	0.0682463	-0.05703
2012.74454	-0.02296	0.0684563	-0.05759
2012.74727	-0.02321	0.0707663	-0.05643
2012.75	-0.02455	0.0716863	-0.05663
2012.75273	-0.02242	0.0710763	-0.05782
2012.75546	-0.02159	0.0702963	-0.05716
2012.7582	-0.02183	0.0686463	-0.05625
2012.76093	-0.02395	0.0704463	-0.05331
2012.76366	-0.02218	0.0700363	-0.06396
2012.76639	-0.02176	0.0696763	-0.05761
2012.76913	-0.02423	0.0712163	-0.05827
2012.77186	-0.02207	0.0697363	-0.05885
2012.77459	-0.02329	0.0695963	-0.05401
2012.77732	-0.02289	0.0698963	-0.05675
2012.78005	-0.02223	0.0695663	-0.06142
2012.78279	-0.02203	0.0711663	-0.06302
2012.78552	-0.02299	0.0697563	-0.05704
2012.78825	-0.02241	0.0696363	-0.06258
2012.79098	-0.02247	0.0708363	-0.06528
2012.79372	-0.02279	0.0695263	-0.05233
2012.79645	-0.02285	0.0699663	-0.05887
2012.79918	-0.02255	0.0698763	-0.06117
2012.80191	-0.02319	0.0717463	-0.05928
2012.80464	-0.02236	0.0696963	-0.05888
2012.80738	-0.02292	0.0692963	-0.05926
2012.81011	-0.02244	0.0707163	-0.04642
2012.81284	-0.02357	0.0727263	-0.05846
2012.81557	-0.02371	0.0716563	-0.061
2012.81831	-0.02422	0.0715763	-0.05828
